date,dish,feedback,sentiment,rating,votes
2023-09-05,Paneer Butter Masala,cold food served again,Negative,2,93
2023-09-05,Poha,great taste today,Positive,4,32
2023-09-05,Dal Rice,very tasty and fresh,Positive,5,14
2023-09-05,Biryani,really enjoyed the food,Positive,4,16
2023-09-05,Rajma Rice,nothing special today,Neutral,3,12
2023-09-06,Rajma Rice,dal was undercooked,Negative,1,27
2023-09-06,Dal Rice,great taste today,Positive,5,44
2023-09-06,Khichdi,could be better,Neutral,3,34
2023-09-06,Curd Rice,paneer was delicious,Positive,5,107
2023-09-06,Roti Sabzi,really enjoyed the food,Positive,4,75
2023-09-07,Fried Rice,food was amazing today!,Positive,4,34
2023-09-07,Paratha,tasteless food,Negative,1,41
2023-09-07,Poha,food was amazing today!,Positive,5,100
2023-09-07,Dal Rice,really enjoyed the food,Positive,5,74
2023-09-07,Biryani,loved the biryani!,Positive,4,40
2023-09-08,Rajma Rice,rice was overcooked,Negative,2,54
2023-09-08,Roti Sabzi,best meal this week,Positive,4,46
2023-09-08,Paneer Butter Masala,food was amazing today!,Positive,4,119
2023-09-08,Khichdi,average as usual,Neutral,3,92
2023-09-08,Paratha,excellent quality today,Positive,5,93
2023-09-09,Chole Bhature,very bad quality today,Negative,1,38
2023-09-09,Biryani,best meal this week,Positive,5,64
2023-09-09,Idli Sambar,not fresh at all,Negative,2,42
2023-09-09,Curd Rice,best meal this week,Positive,5,84
2023-09-09,Roti Sabzi,really enjoyed the food,Positive,5,48
2023-09-10,Curd Rice,not fresh at all,Negative,2,43
2023-09-10,Poha,acceptable quality,Neutral,3,34
2023-09-10,Roti Sabzi,excellent quality today,Positive,4,113
2023-09-10,Khichdi,worst meal this month,Negative,2,97
2023-09-10,Rajma Rice,food was amazing today!,Positive,5,47
2023-09-11,Dal Rice,could be better,Neutral,3,53
2023-09-11,Chole Bhature,average as usual,Neutral,3,95
2023-09-11,Khichdi,best meal this week,Positive,4,117
2023-09-11,Curd Rice,could be better,Neutral,3,47
2023-09-11,Idli Sambar,very tasty and fresh,Positive,5,102
2023-09-12,Fried Rice,excellent quality today,Positive,5,63
2023-09-12,Biryani,nothing special today,Neutral,3,43
2023-09-12,Paratha,decent meal,Neutral,3,70
2023-09-12,Rajma Rice,loved the biryani!,Positive,5,34
2023-09-12,Poha,paneer was delicious,Positive,5,62
2023-09-13,Idli Sambar,great taste today,Positive,4,50
2023-09-13,Paratha,very bad quality today,Negative,1,72
2023-09-13,Khichdi,very tasty and fresh,Positive,5,91
2023-09-13,Upma,great taste today,Positive,5,36
2023-09-13,Rajma Rice,average as usual,Neutral,3,72
2023-09-14,Fried Rice,decent meal,Neutral,3,71
2023-09-14,Poha,food was amazing today!,Positive,4,103
2023-09-14,Paratha,food was amazing today!,Positive,5,106
2023-09-14,Paneer Butter Masala,tasteless food,Negative,1,96
2023-09-14,Chole Bhature,excellent quality today,Positive,4,98
2023-09-15,Rajma Rice,best meal this week,Positive,4,18
2023-09-15,Dal Rice,cold food served again,Negative,2,68
2023-09-15,Paratha,could be better,Neutral,3,65
2023-09-15,Poha,very bad quality today,Negative,2,72
2023-09-15,Chole Bhature,excellent quality today,Positive,4,113
2023-09-16,Chole Bhature,food was amazing today!,Positive,4,25
2023-09-16,Idli Sambar,food was amazing today!,Positive,5,91
2023-09-16,Upma,food was amazing today!,Positive,4,94
2023-09-16,Curd Rice,food was amazing today!,Positive,4,98
2023-09-16,Paratha,great taste today,Positive,5,25
2023-09-17,Biryani,acceptable quality,Neutral,3,48
2023-09-17,Dal Rice,loved the biryani!,Positive,5,89
2023-09-17,Roti Sabzi,average as usual,Neutral,3,116
2023-09-17,Paratha,dal was undercooked,Negative,2,24
2023-09-17,Upma,decent meal,Neutral,3,87
2023-09-18,Upma,nothing special today,Neutral,3,15
2023-09-18,Dal Rice,excellent quality today,Positive,5,52
2023-09-18,Biryani,food was amazing today!,Positive,4,24
2023-09-18,Fried Rice,rice was overcooked,Negative,1,21
2023-09-18,Rajma Rice,food was okay,Neutral,3,42
2023-09-19,Curd Rice,loved the biryani!,Positive,4,15
2023-09-19,Upma,not fresh at all,Negative,2,64
2023-09-19,Roti Sabzi,food was okay,Neutral,3,11
2023-09-19,Dal Rice,very bad quality today,Negative,2,55
2023-09-19,Paneer Butter Masala,cold food served again,Negative,1,57
2023-09-20,Rajma Rice,cold food served again,Negative,2,98
2023-09-20,Paratha,worst meal this month,Negative,1,24
2023-09-20,Poha,food was amazing today!,Positive,4,23
2023-09-20,Chole Bhature,great taste today,Positive,5,33
2023-09-20,Paneer Butter Masala,nothing special today,Neutral,3,120
2023-09-21,Curd Rice,paneer was delicious,Positive,5,15
2023-09-21,Khichdi,really enjoyed the food,Positive,4,100
2023-09-21,Paratha,tasteless food,Negative,2,76
2023-09-21,Roti Sabzi,loved the biryani!,Positive,5,94
2023-09-21,Paneer Butter Masala,decent meal,Neutral,3,94
2023-09-22,Curd Rice,food was too salty,Negative,1,92
2023-09-22,Fried Rice,rice was overcooked,Negative,2,31
2023-09-22,Chole Bhature,great taste today,Positive,5,40
2023-09-22,Paratha,best meal this week,Positive,4,74
2023-09-22,Biryani,paneer was delicious,Positive,5,114
2023-09-23,Upma,great taste today,Positive,5,50
2023-09-23,Poha,great taste today,Positive,4,23
2023-09-23,Roti Sabzi,food was amazing today!,Positive,4,115
2023-09-23,Curd Rice,best meal this week,Positive,4,93
2023-09-23,Paneer Butter Masala,nothing special today,Neutral,3,115
2023-09-24,Idli Sambar,could be better,Neutral,3,101
2023-09-24,Upma,acceptable quality,Neutral,3,24
2023-09-24,Roti Sabzi,excellent quality today,Positive,4,53
2023-09-24,Rajma Rice,best meal this week,Positive,5,99
2023-09-24,Biryani,very tasty and fresh,Positive,5,27
2023-09-25,Khichdi,average as usual,Neutral,3,119
2023-09-25,Fried Rice,great taste today,Positive,4,101
2023-09-25,Chole Bhature,paneer was delicious,Positive,4,91
2023-09-25,Poha,dal was undercooked,Negative,2,68
2023-09-25,Dal Rice,could be better,Neutral,3,73
2023-09-26,Idli Sambar,rice was overcooked,Negative,1,98
2023-09-26,Biryani,acceptable quality,Neutral,3,23
2023-09-26,Fried Rice,really enjoyed the food,Positive,5,63
2023-09-26,Khichdi,tasteless food,Negative,2,60
2023-09-26,Chole Bhature,cold food served again,Negative,2,113
2023-09-27,Paratha,really enjoyed the food,Positive,4,35
2023-09-27,Fried Rice,best meal this week,Positive,5,96
2023-09-27,Chole Bhature,very tasty and fresh,Positive,5,100
2023-09-27,Paneer Butter Masala,really enjoyed the food,Positive,5,84
2023-09-27,Biryani,acceptable quality,Neutral,3,96
2023-09-28,Khichdi,food was amazing today!,Positive,5,28
2023-09-28,Biryani,food was amazing today!,Positive,4,44
2023-09-28,Dal Rice,average as usual,Neutral,3,97
2023-09-28,Chole Bhature,food was amazing today!,Positive,5,36
2023-09-28,Idli Sambar,food was okay,Neutral,3,114
2023-09-29,Roti Sabzi,could be better,Neutral,3,40
2023-09-29,Poha,best meal this week,Positive,4,58
2023-09-29,Paneer Butter Masala,really enjoyed the food,Positive,4,11
2023-09-29,Biryani,average as usual,Neutral,3,116
2023-09-29,Upma,really enjoyed the food,Positive,4,109
2023-09-30,Khichdi,dal was undercooked,Negative,1,32
2023-09-30,Upma,food was okay,Neutral,3,15
2023-09-30,Dal Rice,best meal this week,Positive,4,30
2023-09-30,Roti Sabzi,nothing special today,Neutral,3,52
2023-09-30,Paratha,very tasty and fresh,Positive,4,29
2023-10-01,Rajma Rice,really enjoyed the food,Positive,4,110
2023-10-01,Paneer Butter Masala,could be better,Neutral,3,33
2023-10-01,Idli Sambar,very tasty and fresh,Positive,5,79
2023-10-01,Khichdi,loved the biryani!,Positive,5,38
2023-10-01,Dal Rice,not fresh at all,Negative,2,56
2023-10-02,Dal Rice,food was too salty,Negative,1,95
2023-10-02,Upma,excellent quality today,Positive,4,15
2023-10-02,Paneer Butter Masala,nothing special today,Neutral,3,111
2023-10-02,Biryani,worst meal this month,Negative,2,79
2023-10-02,Roti Sabzi,food was okay,Neutral,3,75
2023-10-03,Fried Rice,excellent quality today,Positive,5,75
2023-10-03,Biryani,loved the biryani!,Positive,4,108
2023-10-03,Roti Sabzi,food was amazing today!,Positive,4,36
2023-10-03,Curd Rice,average as usual,Neutral,3,116
2023-10-03,Idli Sambar,paneer was delicious,Positive,4,105
2023-10-04,Curd Rice,loved the biryani!,Positive,4,32
2023-10-04,Paratha,could be better,Neutral,3,83
2023-10-04,Idli Sambar,cold food served again,Negative,2,59
2023-10-04,Roti Sabzi,paneer was delicious,Positive,5,50
2023-10-04,Rajma Rice,loved the biryani!,Positive,4,92
2023-10-05,Khichdi,food was okay,Neutral,3,74
2023-10-05,Paneer Butter Masala,best meal this week,Positive,4,46
2023-10-05,Poha,decent meal,Neutral,3,60
2023-10-05,Fried Rice,food was too salty,Negative,2,30
2023-10-05,Idli Sambar,very tasty and fresh,Positive,5,111
2023-10-06,Fried Rice,acceptable quality,Neutral,3,11
2023-10-06,Biryani,could be better,Neutral,3,25
2023-10-06,Dal Rice,paneer was delicious,Positive,4,49
2023-10-06,Paratha,really enjoyed the food,Positive,4,62
2023-10-06,Curd Rice,very bad quality today,Negative,1,33
2023-10-07,Upma,food was amazing today!,Positive,5,92
2023-10-07,Paneer Butter Masala,best meal this week,Positive,4,42
2023-10-07,Dal Rice,great taste today,Positive,5,55
2023-10-07,Fried Rice,excellent quality today,Positive,4,46
2023-10-07,Poha,average as usual,Neutral,3,72
2023-10-08,Roti Sabzi,nothing special today,Neutral,3,64
2023-10-08,Rajma Rice,really enjoyed the food,Positive,4,110
2023-10-08,Paneer Butter Masala,paneer was delicious,Positive,5,117
2023-10-08,Dal Rice,really enjoyed the food,Positive,5,69
2023-10-08,Paratha,best meal this week,Positive,5,80
2023-10-09,Poha,very bad quality today,Negative,1,43
2023-10-09,Paratha,acceptable quality,Neutral,3,103
2023-10-09,Curd Rice,food was amazing today!,Positive,4,114
2023-10-09,Paneer Butter Masala,decent meal,Neutral,3,14
2023-10-09,Fried Rice,could be better,Neutral,3,93
2023-10-10,Fried Rice,cold food served again,Negative,1,69
2023-10-10,Paratha,loved the biryani!,Positive,5,56
2023-10-10,Rajma Rice,excellent quality today,Positive,4,106
2023-10-10,Chole Bhature,great taste today,Positive,4,32
2023-10-10,Upma,could be better,Neutral,3,104
2023-10-11,Khichdi,average as usual,Neutral,3,43
2023-10-11,Roti Sabzi,food was amazing today!,Positive,4,76
2023-10-11,Rajma Rice,not fresh at all,Negative,2,70
2023-10-11,Idli Sambar,food was too salty,Negative,1,93
2023-10-11,Upma,best meal this week,Positive,5,84
2023-10-12,Biryani,loved the biryani!,Positive,5,58
2023-10-12,Paneer Butter Masala,tasteless food,Negative,2,55
2023-10-12,Paratha,not fresh at all,Negative,2,111
2023-10-12,Chole Bhature,food was amazing today!,Positive,4,66
2023-10-12,Khichdi,loved the biryani!,Positive,5,37
2023-10-13,Paratha,decent meal,Neutral,3,102
2023-10-13,Fried Rice,great taste today,Positive,5,36
2023-10-13,Khichdi,acceptable quality,Neutral,3,12
2023-10-13,Rajma Rice,very tasty and fresh,Positive,4,27
2023-10-13,Poha,food was okay,Neutral,3,17
2023-10-14,Paratha,could be better,Neutral,3,102
2023-10-14,Dal Rice,nothing special today,Neutral,3,37
2023-10-14,Fried Rice,great taste today,Positive,5,31
2023-10-14,Biryani,paneer was delicious,Positive,4,111
2023-10-14,Chole Bhature,average as usual,Neutral,3,31
2023-10-15,Khichdi,paneer was delicious,Positive,4,23
2023-10-15,Curd Rice,paneer was delicious,Positive,4,87
2023-10-15,Rajma Rice,great taste today,Positive,4,110
2023-10-15,Roti Sabzi,loved the biryani!,Positive,4,71
2023-10-15,Poha,could be better,Neutral,3,109
2023-10-16,Curd Rice,food was amazing today!,Positive,5,39
2023-10-16,Fried Rice,rice was overcooked,Negative,2,54
2023-10-16,Chole Bhature,acceptable quality,Neutral,3,64
2023-10-16,Biryani,great taste today,Positive,4,119
2023-10-16,Khichdi,paneer was delicious,Positive,5,34
2023-10-17,Idli Sambar,food was amazing today!,Positive,5,93
2023-10-17,Khichdi,really enjoyed the food,Positive,5,56
2023-10-17,Fried Rice,paneer was delicious,Positive,5,43
2023-10-17,Paneer Butter Masala,worst meal this month,Negative,2,88
2023-10-17,Biryani,paneer was delicious,Positive,4,62
2023-10-18,Biryani,decent meal,Neutral,3,49
2023-10-18,Fried Rice,acceptable quality,Neutral,3,104
2023-10-18,Roti Sabzi,loved the biryani!,Positive,4,67
2023-10-18,Paratha,average as usual,Neutral,3,37
2023-10-18,Rajma Rice,really enjoyed the food,Positive,4,30
2023-10-19,Chole Bhature,paneer was delicious,Positive,4,18
2023-10-19,Curd Rice,really enjoyed the food,Positive,4,87
2023-10-19,Idli Sambar,paneer was delicious,Positive,5,88
2023-10-19,Poha,nothing special today,Neutral,3,109
2023-10-19,Paratha,rice was overcooked,Negative,2,11
2023-10-20,Upma,excellent quality today,Positive,4,96
2023-10-20,Curd Rice,excellent quality today,Positive,4,30
2023-10-20,Biryani,best meal this week,Positive,5,55
2023-10-20,Dal Rice,decent meal,Neutral,3,76
2023-10-20,Fried Rice,loved the biryani!,Positive,4,80
2023-10-21,Dal Rice,best meal this week,Positive,4,87
2023-10-21,Khichdi,rice was overcooked,Negative,2,83
2023-10-21,Biryani,very tasty and fresh,Positive,5,74
2023-10-21,Paneer Butter Masala,loved the biryani!,Positive,5,53
2023-10-21,Rajma Rice,cold food served again,Negative,2,98
2023-10-22,Roti Sabzi,decent meal,Neutral,3,85
2023-10-22,Chole Bhature,rice was overcooked,Negative,1,43
2023-10-22,Paneer Butter Masala,excellent quality today,Positive,4,112
2023-10-22,Fried Rice,really enjoyed the food,Positive,4,99
2023-10-22,Upma,tasteless food,Negative,2,21
2023-10-23,Chole Bhature,rice was overcooked,Negative,2,55
2023-10-23,Curd Rice,best meal this week,Positive,4,105
2023-10-23,Rajma Rice,average as usual,Neutral,3,104
2023-10-23,Poha,excellent quality today,Positive,5,36
2023-10-23,Biryani,excellent quality today,Positive,5,29
2023-10-24,Fried Rice,could be better,Neutral,3,118
2023-10-24,Poha,really enjoyed the food,Positive,5,83
2023-10-24,Khichdi,rice was overcooked,Negative,1,107
2023-10-24,Curd Rice,cold food served again,Negative,2,38
2023-10-24,Roti Sabzi,average as usual,Neutral,3,77
2023-10-25,Fried Rice,paneer was delicious,Positive,4,68
2023-10-25,Chole Bhature,rice was overcooked,Negative,2,98
2023-10-25,Roti Sabzi,excellent quality today,Positive,5,84
2023-10-25,Biryani,really enjoyed the food,Positive,5,33
2023-10-25,Idli Sambar,excellent quality today,Positive,5,70
2023-10-26,Paneer Butter Masala,paneer was delicious,Positive,5,56
2023-10-26,Rajma Rice,cold food served again,Negative,2,33
2023-10-26,Khichdi,could be better,Neutral,3,114
2023-10-26,Paratha,best meal this week,Positive,4,81
2023-10-26,Roti Sabzi,paneer was delicious,Positive,4,28
2023-10-27,Fried Rice,great taste today,Positive,4,118
2023-10-27,Khichdi,could be better,Neutral,3,110
2023-10-27,Paratha,best meal this week,Positive,4,60
2023-10-27,Roti Sabzi,very tasty and fresh,Positive,4,37
2023-10-27,Idli Sambar,rice was overcooked,Negative,1,67
2023-10-28,Khichdi,nothing special today,Neutral,3,12
2023-10-28,Rajma Rice,really enjoyed the food,Positive,4,83
2023-10-28,Dal Rice,acceptable quality,Neutral,3,109
2023-10-28,Fried Rice,really enjoyed the food,Positive,5,109
2023-10-28,Paneer Butter Masala,food was okay,Neutral,3,88
2023-10-29,Dal Rice,nothing special today,Neutral,3,90
2023-10-29,Roti Sabzi,decent meal,Neutral,3,20
2023-10-29,Curd Rice,excellent quality today,Positive,5,50
2023-10-29,Paratha,acceptable quality,Neutral,3,87
2023-10-29,Paneer Butter Masala,nothing special today,Neutral,3,109
2023-10-30,Rajma Rice,very tasty and fresh,Positive,4,26
2023-10-30,Khichdi,acceptable quality,Neutral,3,105
2023-10-30,Paneer Butter Masala,food was okay,Neutral,3,31
2023-10-30,Biryani,loved the biryani!,Positive,4,70
2023-10-30,Roti Sabzi,food was amazing today!,Positive,5,77
2023-10-31,Fried Rice,paneer was delicious,Positive,5,39
2023-10-31,Poha,best meal this week,Positive,5,90
2023-10-31,Khichdi,very tasty and fresh,Positive,4,14
2023-10-31,Dal Rice,nothing special today,Neutral,3,69
2023-10-31,Paratha,cold food served again,Negative,2,27
2023-11-01,Khichdi,acceptable quality,Neutral,3,77
2023-11-01,Biryani,could be better,Neutral,3,54
2023-11-01,Paratha,excellent quality today,Positive,4,66
2023-11-01,Paneer Butter Masala,paneer was delicious,Positive,5,29
2023-11-01,Roti Sabzi,food was amazing today!,Positive,4,54
2023-11-02,Dal Rice,rice was overcooked,Negative,2,11
2023-11-02,Roti Sabzi,nothing special today,Neutral,3,111
2023-11-02,Biryani,really enjoyed the food,Positive,4,62
2023-11-02,Idli Sambar,worst meal this month,Negative,2,41
2023-11-02,Khichdi,paneer was delicious,Positive,5,38
2023-11-03,Dal Rice,could be better,Neutral,3,46
2023-11-03,Poha,could be better,Neutral,3,62
2023-11-03,Chole Bhature,loved the biryani!,Positive,4,27
2023-11-03,Upma,great taste today,Positive,5,44
2023-11-03,Biryani,decent meal,Neutral,3,51
2023-11-04,Idli Sambar,loved the biryani!,Positive,5,44
2023-11-04,Paratha,great taste today,Positive,4,39
2023-11-04,Fried Rice,food was amazing today!,Positive,5,37
2023-11-04,Biryani,best meal this week,Positive,5,57
2023-11-04,Curd Rice,food was amazing today!,Positive,5,20
2023-11-05,Fried Rice,great taste today,Positive,4,34
2023-11-05,Paratha,cold food served again,Negative,2,116
2023-11-05,Idli Sambar,excellent quality today,Positive,5,108
2023-11-05,Dal Rice,tasteless food,Negative,1,35
2023-11-05,Chole Bhature,loved the biryani!,Positive,4,70
2023-11-06,Chole Bhature,food was okay,Neutral,3,42
2023-11-06,Curd Rice,best meal this week,Positive,4,56
2023-11-06,Dal Rice,tasteless food,Negative,1,40
2023-11-06,Rajma Rice,nothing special today,Neutral,3,31
2023-11-06,Paratha,could be better,Neutral,3,60
2023-11-07,Fried Rice,average as usual,Neutral,3,108
2023-11-07,Upma,very tasty and fresh,Positive,5,21
2023-11-07,Idli Sambar,nothing special today,Neutral,3,17
2023-11-07,Curd Rice,very tasty and fresh,Positive,4,26
2023-11-07,Roti Sabzi,really enjoyed the food,Positive,5,113
2023-11-08,Roti Sabzi,very tasty and fresh,Positive,5,15
2023-11-08,Khichdi,great taste today,Positive,5,79
2023-11-08,Upma,average as usual,Neutral,3,79
2023-11-08,Idli Sambar,great taste today,Positive,5,116
2023-11-08,Chole Bhature,could be better,Neutral,3,18
2023-11-09,Biryani,great taste today,Positive,4,109
2023-11-09,Paratha,decent meal,Neutral,3,12
2023-11-09,Roti Sabzi,nothing special today,Neutral,3,51
2023-11-09,Dal Rice,acceptable quality,Neutral,3,34
2023-11-09,Paneer Butter Masala,great taste today,Positive,4,88
2023-11-10,Dal Rice,loved the biryani!,Positive,4,116
2023-11-10,Rajma Rice,very bad quality today,Negative,1,35
2023-11-10,Chole Bhature,excellent quality today,Positive,4,14
2023-11-10,Khichdi,decent meal,Neutral,3,77
2023-11-10,Poha,could be better,Neutral,3,16
2023-11-11,Rajma Rice,tasteless food,Negative,2,116
2023-11-11,Upma,food was amazing today!,Positive,5,81
2023-11-11,Paneer Butter Masala,decent meal,Neutral,3,111
2023-11-11,Poha,could be better,Neutral,3,77
2023-11-11,Idli Sambar,loved the biryani!,Positive,5,19
2023-11-12,Upma,excellent quality today,Positive,4,77
2023-11-12,Biryani,could be better,Neutral,3,81
2023-11-12,Poha,decent meal,Neutral,3,108
2023-11-12,Curd Rice,nothing special today,Neutral,3,99
2023-11-12,Fried Rice,food was okay,Neutral,3,111
2023-11-13,Paratha,could be better,Neutral,3,55
2023-11-13,Biryani,not fresh at all,Negative,2,62
2023-11-13,Chole Bhature,decent meal,Neutral,3,87
2023-11-13,Khichdi,excellent quality today,Positive,5,108
2023-11-13,Rajma Rice,acceptable quality,Neutral,3,56
2023-11-14,Roti Sabzi,food was too salty,Negative,1,48
2023-11-14,Fried Rice,excellent quality today,Positive,4,119
2023-11-14,Chole Bhature,best meal this week,Positive,4,22
2023-11-14,Idli Sambar,really enjoyed the food,Positive,4,27
2023-11-14,Paneer Butter Masala,excellent quality today,Positive,4,42
2023-11-15,Fried Rice,average as usual,Neutral,3,102
2023-11-15,Dal Rice,great taste today,Positive,4,72
2023-11-15,Poha,dal was undercooked,Negative,2,14
2023-11-15,Paneer Butter Masala,could be better,Neutral,3,20
2023-11-15,Chole Bhature,nothing special today,Neutral,3,114
2023-11-16,Chole Bhature,acceptable quality,Neutral,3,16
2023-11-16,Fried Rice,food was amazing today!,Positive,5,79
2023-11-16,Poha,nothing special today,Neutral,3,29
2023-11-16,Upma,paneer was delicious,Positive,5,106
2023-11-16,Idli Sambar,could be better,Neutral,3,38
2023-11-17,Chole Bhature,great taste today,Positive,4,80
2023-11-17,Dal Rice,loved the biryani!,Positive,5,74
2023-11-17,Fried Rice,very tasty and fresh,Positive,4,71
2023-11-17,Paratha,decent meal,Neutral,3,93
2023-11-17,Paneer Butter Masala,could be better,Neutral,3,41
2023-11-18,Poha,paneer was delicious,Positive,5,56
2023-11-18,Dal Rice,really enjoyed the food,Positive,5,86
2023-11-18,Chole Bhature,nothing special today,Neutral,3,54
2023-11-18,Rajma Rice,decent meal,Neutral,3,66
2023-11-18,Fried Rice,excellent quality today,Positive,4,97
2023-11-19,Rajma Rice,very tasty and fresh,Positive,5,11
2023-11-19,Paratha,loved the biryani!,Positive,5,67
2023-11-19,Poha,really enjoyed the food,Positive,4,104
2023-11-19,Curd Rice,excellent quality today,Positive,5,80
2023-11-19,Idli Sambar,very tasty and fresh,Positive,4,58
2023-11-20,Paneer Butter Masala,best meal this week,Positive,4,111
2023-11-20,Curd Rice,nothing special today,Neutral,3,69
2023-11-20,Biryani,food was okay,Neutral,3,59
2023-11-20,Idli Sambar,acceptable quality,Neutral,3,120
2023-11-20,Dal Rice,best meal this week,Positive,5,39
2023-11-21,Chole Bhature,dal was undercooked,Negative,1,35
2023-11-21,Biryani,great taste today,Positive,4,15
2023-11-21,Poha,best meal this week,Positive,5,72
2023-11-21,Rajma Rice,very tasty and fresh,Positive,4,54
2023-11-21,Roti Sabzi,nothing special today,Neutral,3,40
2023-11-22,Biryani,food was too salty,Negative,2,38
2023-11-22,Dal Rice,paneer was delicious,Positive,4,21
2023-11-22,Idli Sambar,could be better,Neutral,3,63
2023-11-22,Khichdi,very tasty and fresh,Positive,5,49
2023-11-22,Chole Bhature,not fresh at all,Negative,2,79
2023-11-23,Paratha,average as usual,Neutral,3,49
2023-11-23,Upma,could be better,Neutral,3,65
2023-11-23,Curd Rice,very bad quality today,Negative,1,50
2023-11-23,Fried Rice,loved the biryani!,Positive,4,50
2023-11-23,Biryani,very bad quality today,Negative,1,107
2023-11-24,Rajma Rice,acceptable quality,Neutral,3,29
2023-11-24,Chole Bhature,food was okay,Neutral,3,33
2023-11-24,Khichdi,best meal this week,Positive,4,86
2023-11-24,Dal Rice,food was amazing today!,Positive,5,20
2023-11-24,Roti Sabzi,decent meal,Neutral,3,74
2023-11-25,Paneer Butter Masala,rice was overcooked,Negative,2,27
2023-11-25,Roti Sabzi,excellent quality today,Positive,4,62
2023-11-25,Curd Rice,food was okay,Neutral,3,62
2023-11-25,Rajma Rice,excellent quality today,Positive,4,18
2023-11-25,Paratha,great taste today,Positive,5,98
2023-11-26,Rajma Rice,could be better,Neutral,3,102
2023-11-26,Roti Sabzi,food was amazing today!,Positive,4,67
2023-11-26,Upma,food was amazing today!,Positive,4,76
2023-11-26,Chole Bhature,food was amazing today!,Positive,5,76
2023-11-26,Paneer Butter Masala,food was okay,Neutral,3,47
2023-11-27,Roti Sabzi,best meal this week,Positive,4,98
2023-11-27,Chole Bhature,very tasty and fresh,Positive,5,116
2023-11-27,Dal Rice,food was okay,Neutral,3,33
2023-11-27,Curd Rice,acceptable quality,Neutral,3,60
2023-11-27,Fried Rice,great taste today,Positive,4,32
2023-11-28,Roti Sabzi,very tasty and fresh,Positive,4,21
2023-11-28,Paneer Butter Masala,great taste today,Positive,5,20
2023-11-28,Upma,paneer was delicious,Positive,4,58
2023-11-28,Fried Rice,food was okay,Neutral,3,52
2023-11-28,Poha,acceptable quality,Neutral,3,30
2023-11-29,Paratha,great taste today,Positive,5,90
2023-11-29,Fried Rice,very tasty and fresh,Positive,4,10
2023-11-29,Idli Sambar,nothing special today,Neutral,3,68
2023-11-29,Chole Bhature,great taste today,Positive,4,87
2023-11-29,Dal Rice,tasteless food,Negative,1,85
2023-11-30,Curd Rice,food was amazing today!,Positive,4,80
2023-11-30,Roti Sabzi,excellent quality today,Positive,4,33
2023-11-30,Khichdi,really enjoyed the food,Positive,4,28
2023-11-30,Chole Bhature,cold food served again,Negative,2,21
2023-11-30,Fried Rice,paneer was delicious,Positive,4,30
2023-12-01,Curd Rice,great taste today,Positive,5,14
2023-12-01,Dal Rice,best meal this week,Positive,5,57
2023-12-01,Paneer Butter Masala,dal was undercooked,Negative,2,117
2023-12-01,Fried Rice,nothing special today,Neutral,3,27
2023-12-01,Biryani,best meal this week,Positive,5,77
2023-12-02,Chole Bhature,loved the biryani!,Positive,5,102
2023-12-02,Biryani,acceptable quality,Neutral,3,64
2023-12-02,Upma,nothing special today,Neutral,3,77
2023-12-02,Curd Rice,could be better,Neutral,3,26
2023-12-02,Idli Sambar,decent meal,Neutral,3,73
2023-12-03,Fried Rice,food was too salty,Negative,1,13
2023-12-03,Paratha,loved the biryani!,Positive,4,112
2023-12-03,Paneer Butter Masala,decent meal,Neutral,3,15
2023-12-03,Upma,excellent quality today,Positive,4,91
2023-12-03,Dal Rice,best meal this week,Positive,5,111
2023-12-04,Poha,food was amazing today!,Positive,4,97
2023-12-04,Dal Rice,paneer was delicious,Positive,4,116
2023-12-04,Khichdi,really enjoyed the food,Positive,5,96
2023-12-04,Biryani,great taste today,Positive,4,92
2023-12-04,Paneer Butter Masala,very tasty and fresh,Positive,5,120
2023-12-05,Biryani,cold food served again,Negative,2,81
2023-12-05,Rajma Rice,excellent quality today,Positive,5,112
2023-12-05,Roti Sabzi,not fresh at all,Negative,1,29
2023-12-05,Chole Bhature,food was amazing today!,Positive,5,58
2023-12-05,Idli Sambar,average as usual,Neutral,3,33
2023-12-06,Paneer Butter Masala,loved the biryani!,Positive,5,40
2023-12-06,Poha,best meal this week,Positive,4,77
2023-12-06,Dal Rice,loved the biryani!,Positive,5,110
2023-12-06,Rajma Rice,excellent quality today,Positive,4,66
2023-12-06,Idli Sambar,great taste today,Positive,4,34
2023-12-07,Rajma Rice,loved the biryani!,Positive,4,36
2023-12-07,Roti Sabzi,decent meal,Neutral,3,101
2023-12-07,Biryani,dal was undercooked,Negative,1,49
2023-12-07,Dal Rice,dal was undercooked,Negative,2,69
2023-12-07,Fried Rice,dal was undercooked,Negative,2,12
2023-12-08,Paneer Butter Masala,best meal this week,Positive,5,78
2023-12-08,Dal Rice,great taste today,Positive,4,44
2023-12-08,Curd Rice,best meal this week,Positive,4,11
2023-12-08,Upma,dal was undercooked,Negative,1,79
2023-12-08,Rajma Rice,really enjoyed the food,Positive,5,28
2023-12-09,Khichdi,really enjoyed the food,Positive,5,16
2023-12-09,Dal Rice,great taste today,Positive,4,23
2023-12-09,Paneer Butter Masala,loved the biryani!,Positive,5,60
2023-12-09,Upma,great taste today,Positive,5,49
2023-12-09,Paratha,excellent quality today,Positive,4,106
2023-12-10,Fried Rice,rice was overcooked,Negative,1,68
2023-12-10,Roti Sabzi,great taste today,Positive,5,39
2023-12-10,Paneer Butter Masala,very bad quality today,Negative,2,56
